'created_at';'favorite_count';'id';'in_reply_to_status_id';'in_reply_to_user_id';'place_full_name';'retweet_count';'retweeted';'retweeted_id';'text';'truncated';'user_id'
'Sun Feb 01 17:19:25 +0000 2015';0;561936872977760256;'';'';'';0;'false';'';'RT @MichelPesquera: No podemos ayudar a todos, pero todos podemos ayudar a alguien! http://t.co/8qRlBc1Ylz';'false';1302010249
'Sun Feb 01 17:19:25 +0000 2015';0;561936873514610688;561928604012257280;51933295;'';0;'false';'';'@verdadesofenden @mgeronte @diostuitero @AlxandraGil Si todos los votantes de Podemos estan en la manifestacion,asi les ira en el futuro.';'false';2305158924
'Sun Feb 01 17:19:25 +0000 2015';0;561936875074879489;'';'';'';0;'false';'';'RT @MichelPesquera: No podemos ayudar a todos, pero todos podemos ayudar a alguien! http://t.co/8qRlBc1Ylz';'false';430107760
'Sun Feb 01 17:19:26 +0000 2015';0;561936876425449472;'';'';'';0;'false';'';'Podemos volar sin tener alas';'false';2614350613
'Sun Feb 01 17:19:26 +0000 2015';0;561936877612462080;'';'';'';0;'false';'';'RT @atlante83: Así he visto la manifestación de Podemos del 31 de enero de 2015

https://t.co/oc8qjoptWJ http://t.co/iTbxF1jNuI';'false';158769409
'Sun Feb 01 17:19:26 +0000 2015';0;561936878010892288;'';'';'';0;'false';'';'RT @la_patilla: Podemos en España… ¿es una franquicia del chavismo venezolano? http://t.co/UJpgHUVXwO';'false';1355921700
'Sun Feb 01 17:19:27 +0000 2015';0;561936880892403713;'';'';'';0;'false';'';'RT @EsppeonzAguirre: Corresponsal del F. Times denuncia manipulación de TVE sobre la marcha de Podemos #EsAhora31E http://t.co/4piKSgoukg h…';'false';290555850
'Sun Feb 01 17:19:28 +0000 2015';0;561936887687155713;'';'';'';0;'false';'';'Voy a daros mi humilde (que no gratuita) opinión. Podemos es como Jesus. Todo muy bello, pero las cosas no son tan fáciles.';'false';72568036
'Sun Feb 01 17:19:29 +0000 2015';0;561936888211456000;'';'';'';0;'false';'';'RT @ArianaKien: "@LaDivinaDiva: Es como todo ... PODEMOS en España es el síntoma, no la enfermedad" La respuesta a un descontento mas no la…';'false';144581063
'Sun Feb 01 17:19:29 +0000 2015';0;561936888655659010;'';'';'';0;'false';'';'Con una multitudinaria marcha en Madrid, Podemos clamó por el ... :...http://t.co/4a0bPabJex';'false';246077303
'Sun Feb 01 17:19:29 +0000 2015';0;561936890577035264;'';'';'';0;'false';'';'RT @ProdiNoms: @ChispiRepublika los de IU somos casta, pero media dirección de Podemos fueron de IU, la otra mitad también y sus cuadros, t…';'false';326695275
'Sun Feb 01 17:19:29 +0000 2015';0;561936892028280832;'';'';'';0;'false';'';'RT @Maby80: “@rhm1947: Última hora: Diosdado @dcabellor compró la Puerta del Sol y por eso Podemos hizo esa rolo de marcha allí #ABCdelFasc…';'false';138018060
'Sun Feb 01 17:19:29 +0000 2015';0;561936891906637824;'';'';'';0;'false';'';'RT @Giliprogre: Cuando critiquéis a Podemos o sus chanchullos, esto es lo que os contestarán sus fanáticos. #NoPodeis http://t.co/sdUT7PuuLt';'false';960194726
'Sun Feb 01 17:19:30 +0000 2015';0;561936894142201856;'';'';'';0;'false';'';'RT @Arturorodescri: El Populismo como el de #Podemos lleva a VENEZUELA a POBREZA Y FALTA DE LIBERTAD. Te detienen si hace fotos como esta h…';'false';141161923
'Sun Feb 01 17:19:32 +0000 2015';0;561936904023998466;'';'';'';0;'false';'';'RT @MarisaSeville: Cobrar más de 400.000 euros por minuta es de casta, salvo que lo haga alguien de Podemos.
Por incoherencia.
#NoPodeis';'false';440336544
'Sun Feb 01 17:19:33 +0000 2015';0;561936906762870784;'';'';'';0;'false';'';'RT @maca_puentes: ¿De verdad todos los q apoyáis a #Podemos estáis de acuerdo con esto? #NoPodeis http://t.co/MlGZxyELNP';'false';235733742
'Sun Feb 01 17:19:34 +0000 2015';0;561936910441271297;'';'';'';0;'false';'';'RT @subversivos_: Las banderas republicanas no dan miedo al pueblo, la de estos cafres si que lo dan... #podemos #NoPodeis http://t.co/TM8I…';'false';224347767
'Sun Feb 01 17:19:34 +0000 2015';0;561936912060256256;'';'';'';0;'false';'';'RT @AlbertoRavell: Por fin, ¿es Podemos en España una franquicia del chavismo venezolano?  http://t.co/kss3NIuHuz';'false';1015347451
'Sun Feb 01 17:19:34 +0000 2015';0;561936912290959361;'';'';'';0;'false';'';'😸😸 Sánchez reivindica el orgullo d los logros socialistas, ignora a Podemos y avisa: "A quien teme el PP es al PSOE" http://t.co/RgGmVSLWMY';'false';923307548
'Sun Feb 01 17:19:34 +0000 2015';0;561936912848809984;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';1596994778
'Sun Feb 01 17:19:35 +0000 2015';0;561936914442645504;561931610711662592;16579721;'';0;'false';'';'@elpce 
Aviso: Hace casi 40 años el PSUC abandonó a sus bases de trabajadores, para abrazar tesis nacionalistas.
PODEMOS seguir perdiendo.';'false';2861185895
'Sun Feb 01 17:19:35 +0000 2015';0;561936914451005441;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2862892040
'Sun Feb 01 17:19:35 +0000 2015';0;561936914782388224;'';'';'';0;'false';'';'RT @rudy5fernandez: Mucho animo al equipo español d Balonmano.Mas orgullosos no podemos estar d esta selección con todo lo q nos habéis dad…';'false';2779729799
'Sun Feb 01 17:19:35 +0000 2015';0;561936914836914176;'';'';'';0;'false';'';'RT @XuanCandano: Quienes creen que Podemos es solo Pablo Iglesias hoy deberían comenzar a enmendar su error, En el 15-M la gente dijo basta…';'false';449565560
'Sun Feb 01 17:19:35 +0000 2015';0;561936915839328256;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';1325469828
'Sun Feb 01 17:19:35 +0000 2015';0;561936916959199232;561934934978596864;182424625;'';0;'false';'';'@Carmen_Lomana Cometelo, bien agusto porq vamos ganar lo que ganas y apoyar a Podemos, q es casi comunista,ya veremos cuando te toquen los $';'false';2874462148
'Sun Feb 01 17:19:36 +0000 2015';0;561936917240217600;561936314288046080;2990889983;'';0;'false';'';'@tomasponcero Ya nos gustaría. Cuestión de derechos. No podemos dar al líder, tiene reservada su emisión a la Tv Canaria. Un saludo.';'false';1742547186
'Sun Feb 01 17:19:36 +0000 2015';0;561936917198295041;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2908746101
'Sun Feb 01 17:19:36 +0000 2015';0;561936918523703297;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';1406781576
'Sun Feb 01 17:19:36 +0000 2015';0;561936919748415488;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';295991844
'Sun Feb 01 17:19:36 +0000 2015';0;561936920767238145;'';'';'';0;'false';'';'Aguirre compara la movilización de Podemos del 31 de enero con la Marcha sobre Roma del fascista... http://t.co/DQEqC308sG';'false';2549713189
'Sun Feb 01 17:19:37 +0000 2015';0;561936922105630720;561936595180593152;366035487;'';0;'false';'';'@Ferran_X @CU_Podemos sigo sin q nadie me diga 3 medidas para sacarme del paro q propone podemos.eso es tener fe.creer en algo sin nada';'false';2303994917
'Sun Feb 01 17:19:37 +0000 2015';0;561936925050023938;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';489120799
'Sun Feb 01 17:19:38 +0000 2015';0;561936926165696512;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';1309382743
