'tweet_id';'url'
561937717966438400;'http://t.co/sJprmzGtnW'
561937720281669632;'https://t.co/V1YCsgA99K'
561937739378339840;'https://t.co/KmUGTckiP9'
561937748580642816;'https://t.co/65Xep6A0bk'
561937753173426176;'http://t.co/LZUMJGOBmd'
561937760127569920;'http://t.co/SeHS4Nc5G5'
561937764007297025;'http://t.co/ocDGDxpCk8'
561937775591968769;'http://t.co/tfrA0aVn22'
561937787168239617;'http://t.co/NaJrRF9L2d'
561937787629604865;'http://t.co/jmzN5Xsg2S'
561937791312232448;'http://t.co/UJpgHUVXwO'
561937794940305408;'http://t.co/ZUt1zoEypt'
561937797742092288;'http://t.co/mHPtzvaAie'
561937803383414784;'http://t.co/9KxNAnhiYG'
561937812367220736;'http://t.co/RDcWXEHQ8v'
561937812938043392;'http://t.co/N07pPQARNd'
561937814015578113;'http://t.co/giGvjvTcad'
561937815660138496;'http://t.co/EhAXkBja1l'
561937833385295872;'https://t.co/4ck55viKSi'
561937834014412800;'http://t.co/hMGljnWnZc'
561937841874567168;'https://t.co/uQBO0TztNp'
561937849071964160;'http://t.co/Y55tH9GH9s'
561937850179268608;'http://t.co/ocDGDxpCk8'
561937853618585600;'http://t.co/3L09NbwWOU'
561937857045344257;'http://t.co/sTEUPcW70M'
561937859423502337;'http://t.co/tfrA0aVn22'
561937869074624512;'http://t.co/ZUt1zoEypt'
561937869733101568;'http://t.co/asUeO3m282'
561937871729606657;'http://t.co/9GdQg95V1Z'
561937891996499969;'http://t.co/Ltnq79iDvg'
561937897155465216;'http://t.co/9KxNAnhiYG'
561937899672068098;'http://t.co/xLETmOFIq9'
561937902255345664;'http://t.co/RWG2T2RB7M'
561937906202574848;'http://t.co/Jv3KoAURN6'
561937907301515264;'http://t.co/OIlzfAFGJ5'
561937908001558528;'http://t.co/4X6mI0ihWw'
561937914469568512;'http://t.co/uvkZ0lKnF0'
561937914637336577;'http://t.co/iv6Vx5W1aQ'
561937924275851265;'http://t.co/MgO0VQA0Kf'
561937924082917376;'http://t.co/QeE7fPqnq1'
561937925664165889;'http://t.co/ocDGDxpCk8'
561937927744540674;'http://t.co/QdXhB8L8jY'
561937953354575874;'http://t.co/6ZPESuAuCc'
561937956764917760;'http://t.co/nQ2QOMa7UO'
561937957972885504;'http://t.co/IrgJXCnzSV'
561937961881968641;'http://t.co/Q3zpnJh5N7'
561937969729503233;'http://t.co/fFjfn8rEHD'
561937971776323584;'http://t.co/tfrA0aVn22'
561937981901402112;'https://t.co/BUaqUyj74S'
561937990269034497;'https://t.co/65Xep6A0bk'
561937994073260033;'http://t.co/jmzN5Xsg2S'
561938001262301184;'https://t.co/uQBO0TztNp'
561938001534914560;'http://t.co/qLYsmlMVPA'
561938022439346177;'http://t.co/OMC1lMUvya'
561938028550430720;'http://t.co/lpzaWkADZh'
561938035655593984;'http://t.co/EdeB07TZeP'
561938040353218560;'http://t.co/6j0R8EMIKu'
561938040634220544;'http://t.co/EaN4GfmRtu'
561938044815941633;'https://t.co/oc8qjoptWJ'
561938049945583616;'http://t.co/dyulG0V4oz'
561938052021760001;'http://t.co/iU75RSdNk8'
561938061689630720;'http://t.co/AcwrfKrqry'
561938078898876417;'http://t.co/ulaV5psZnL'
561938084036886528;'http://t.co/skFVnxmC2v'
561938084984807424;'http://t.co/9EXhTO9quq'
561938085307752448;'http://t.co/rKGzocE5au'
561938092660387840;'http://t.co/I0XAFCN4JI'
561938100809912320;'http://t.co/41RhExU0Wv'
561938101426470913;'http://t.co/sHQz1PAzP0'
561938101778808832;'http://t.co/ocDGDxpCk8'
561938104228274176;'http://t.co/YxLOR6sCLO'
561938106111524864;'https://t.co/z3LlwhNrmA'
